,Solar,Wind Onshore
2022-10-10 00:00:00+02:00,99.0,4482.0
2022-10-10 00:15:00+02:00,92.0,4526.0
2022-10-10 00:30:00+02:00,85.0,4572.0
2022-10-10 00:45:00+02:00,79.0,4614.0
2022-10-10 01:00:00+02:00,73.0,4685.0
2022-10-10 01:15:00+02:00,70.0,4701.0
2022-10-10 01:30:00+02:00,67.0,4694.0
2022-10-10 01:45:00+02:00,65.0,4665.0
2022-10-10 02:00:00+02:00,64.0,4650.0
2022-10-10 02:15:00+02:00,61.0,4583.0
2022-10-10 02:30:00+02:00,58.0,4501.0
2022-10-10 02:45:00+02:00,55.0,4410.0
2022-10-10 03:00:00+02:00,51.0,4313.0
2022-10-10 03:15:00+02:00,48.0,4218.0
2022-10-10 03:30:00+02:00,46.0,4127.0
2022-10-10 03:45:00+02:00,43.0,4040.0
2022-10-10 04:00:00+02:00,42.0,3962.0
2022-10-10 04:15:00+02:00,39.0,3875.0
2022-10-10 04:30:00+02:00,34.0,3784.0
2022-10-10 04:45:00+02:00,29.0,3688.0
2022-10-10 05:00:00+02:00,25.0,3609.0
2022-10-10 05:15:00+02:00,20.0,3495.0
2022-10-10 05:30:00+02:00,16.0,3369.0
2022-10-10 05:45:00+02:00,13.0,3237.0
2022-10-10 06:00:00+02:00,11.0,3101.0
2022-10-10 06:15:00+02:00,8.0,2976.0
2022-10-10 06:30:00+02:00,6.0,2861.0
2022-10-10 06:45:00+02:00,4.0,2754.0
2022-10-10 07:00:00+02:00,2.0,2664.0
2022-10-10 07:15:00+02:00,3.0,2557.0
2022-10-10 07:30:00+02:00,5.0,2444.0
2022-10-10 07:45:00+02:00,7.0,2326.0
2022-10-10 08:00:00+02:00,103.0,2216.0
2022-10-10 08:15:00+02:00,206.0,2096.0
2022-10-10 08:30:00+02:00,365.0,1979.0
2022-10-10 08:45:00+02:00,579.0,1865.0
2022-10-10 09:00:00+02:00,1156.0,1755.0
2022-10-10 09:15:00+02:00,1577.0,1652.0
2022-10-10 09:30:00+02:00,2041.0,1556.0
2022-10-10 09:45:00+02:00,2524.0,1467.0
2022-10-10 10:00:00+02:00,3351.0,1376.0
2022-10-10 10:15:00+02:00,3836.0,1306.0
2022-10-10 10:30:00+02:00,4244.0,1247.0
2022-10-10 10:45:00+02:00,4590.0,1198.0
2022-10-10 11:00:00+02:00,4982.0,1142.0
2022-10-10 11:15:00+02:00,5284.0,1113.0
2022-10-10 11:30:00+02:00,5585.0,1093.0
2022-10-10 11:45:00+02:00,5883.0,1082.0
2022-10-10 12:00:00+02:00,6257.0,1065.0
2022-10-10 12:15:00+02:00,6530.0,1070.0
2022-10-10 12:30:00+02:00,6772.0,1082.0
2022-10-10 12:45:00+02:00,6973.0,1098.0
2022-10-10 13:00:00+02:00,7260.0,1120.0
2022-10-10 13:15:00+02:00,7344.0,1138.0
2022-10-10 13:30:00+02:00,7356.0,1153.0
2022-10-10 13:45:00+02:00,7313.0,1167.0
2022-10-10 14:00:00+02:00,7252.0,1177.0
2022-10-10 14:15:00+02:00,7167.0,1195.0
2022-10-10 14:30:00+02:00,7091.0,1217.0
2022-10-10 14:45:00+02:00,7013.0,1240.0
2022-10-10 15:00:00+02:00,6989.0,1277.0
2022-10-10 15:15:00+02:00,6864.0,1288.0
2022-10-10 15:30:00+02:00,6698.0,1288.0
2022-10-10 15:45:00+02:00,6502.0,1282.0
2022-10-10 16:00:00+02:00,6308.0,1261.0
2022-10-10 16:15:00+02:00,6098.0,1263.0
2022-10-10 16:30:00+02:00,5898.0,1277.0
2022-10-10 16:45:00+02:00,5682.0,1298.0
2022-10-10 17:00:00+02:00,5631.0,1333.0
2022-10-10 17:15:00+02:00,5275.0,1350.0
2022-10-10 17:30:00+02:00,4813.0,1358.0
2022-10-10 17:45:00+02:00,4262.0,1362.0
2022-10-10 18:00:00+02:00,3870.0,1347.0
2022-10-10 18:15:00+02:00,3190.0,1365.0
2022-10-10 18:30:00+02:00,2511.0,1399.0
2022-10-10 18:45:00+02:00,1866.0,1442.0
2022-10-10 19:00:00+02:00,1337.0,1507.0
2022-10-10 19:15:00+02:00,860.0,1542.0
2022-10-10 19:30:00+02:00,523.0,1562.0
2022-10-10 19:45:00+02:00,306.0,1571.0
2022-10-10 20:00:00+02:00,139.0,1568.0
2022-10-10 20:15:00+02:00,108.0,1577.0
2022-10-10 20:30:00+02:00,89.0,1596.0
2022-10-10 20:45:00+02:00,78.0,1621.0
2022-10-10 21:00:00+02:00,72.0,1654.0
2022-10-10 21:15:00+02:00,70.0,1677.0
2022-10-10 21:30:00+02:00,68.0,1694.0
2022-10-10 21:45:00+02:00,64.0,1711.0
2022-10-10 22:00:00+02:00,62.0,1707.0
2022-10-10 22:15:00+02:00,57.0,1747.0
2022-10-10 22:30:00+02:00,52.0,1808.0
2022-10-10 22:45:00+02:00,46.0,1880.0
2022-10-10 23:00:00+02:00,39.0,1983.0
2022-10-10 23:15:00+02:00,36.0,2048.0
2022-10-10 23:30:00+02:00,35.0,2094.0
2022-10-10 23:45:00+02:00,34.0,2125.0
